|papel|DENOM_COMERC                                            |div_yield|atuacao                       |segmento_listagem|cresc_rec_cinco_anos|reclameaquinota|reclameaquitexto|patrim_liq     |
|SMFT3|SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.               |0.0186   |Academias                     |Novo Mercado     |0.0981              |8.1            |Ótimo           |4,713,060,000  |
|AGRO3|BRASILAGRO CIA BRAS DE PROP AGRICOLAS                   |0.1354   |Agronegócio                   |Novo Mercado     |0.2185              |na             |na              |1,976,040,000  |
|EMBR3|EMBRAER                                                 |0        |Produção de Aeronaves         |Novo Mercado     |0.216               |na             |na              |12,757,400,000 |
|SGPS3|SPRINGS GLOBAL                                          |0        |Têxtil                        |na               |-0.0131             |na             |na              |165,504,000    |
|MULT3|MULTIPLAN                                               |0.0377   |Shoppings                     |Nível 2          |0.1492              |6.2            |Regular         |6,933,920,000  |
|FIEI3|CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A                    |0        |Construção                    |Tradicional      |-0.3798             |na             |na              |82,854,000     |
|TAEE3|TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.           |0.064    |Energia - Transmissão         |Nível 2          |0.0589              |na             |na              |6,652,330,000  |
|TAEE4|TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.           |0.063    |Energia - Transmissão         |Nível 2          |0.0589              |na             |na              |6,652,330,000  |
|MTRE3|na                                                      |0.1276   |Construção                    |Novo Mercado     |0.3244              |7.5            |Bom             |976,846,000    |
|TCSA3|TECNISA S/A                                             |0        |Construção                    |Novo Mercado     |0.0088              |5.4            |Ruim            |591,429,000    |
|LPSB3|LOPES                                                   |0.0106   |Exploração de Imóveis         |Novo Mercado     |0.08                |7.4            |Bom             |219,649,000    |
|DESK3|na                                                      |0.0014   |na                            |na               |0.4475              |-1             |na              |1,260,890,000  |
|JHSF3|JHSF                                                    |0.0866   |Construção                    |Novo Mercado     |0.2974              |na             |na              |5,040,500,000  |
|EZTC3|EZ TEC EMPREEND. E PARTICIPAÇÕES S/A                    |0.0121   |Construção                    |Novo Mercado     |0.1057              |6.9            |Regular         |4,598,390,000  |
|CSRN3|COSERN                                                  |0.0987   |Energia - Distribuição        |Tradicional      |0.0921              |8              |Ótimo           |1,546,000,000  |
|CSRN5|COSERN                                                  |0.1038   |Energia - Distribuição        |Tradicional      |0.0921              |8              |Ótimo           |1,546,000,000  |
|MRVE3|MRV ENGENHARIA                                          |0        |Construção                    |Novo Mercado     |0.0417              |7              |Bom             |6,745,350,000  |
|ALUP3|ALUPAR INVESTIMENTO S/A                                 |0.0579   |Energia - Transmissão         |Nível 2          |-0.0566             |na             |na              |7,541,460,000  |
|ALUP4|ALUPAR INVESTIMENTO S/A                                 |0.0581   |Energia - Transmissão         |Nível 2          |-0.0566             |na             |na              |7,541,460,000  |
|GUAR3|GUARARAPES CONFECÇÕES                                   |0        |Vestuário - Geral             |Novo Mercado     |0.0542              |8.5            |Ótimo           |4,986,780,000  |
|CEED3|CEEE-D                                                  |0        |Energia - Distribuição        |Tradicional      |0.1162              |na             |na              |-2,965,540,000 |
|CEED4|CEEE-D                                                  |0        |Energia - Distribuição        |Tradicional      |0.1162              |na             |na              |-2,965,540,000 |
|RNEW3|RENOVA ENERGIA S/A                                      |0        |Energia - Geração             |Nível 2          |0.1288              |na             |na              |807,164,000    |
|RNEW4|RENOVA ENERGIA S/A                                      |0        |Energia - Geração             |Nível 2          |0.1288              |na             |na              |807,164,000    |
|GPAR3|CELGPAR                                                 |0        |Energia - Distribuição        |Tradicional      |-0.612              |5.5            |Ruim            |727,046,000    |
|NEXP3|NEXPE PARTICIPAÃiES S.A.                                |0        |Exploração de Imóveis         |Novo Mercado     |-0.0675             |na             |na              |-143,251,000   |
|GSHP3|GENERAL SHOPPING BRASIL SA                              |0        |Shoppings                     |na               |0.0439              |na             |na              |-840,571,000   |
|CURY3|na                                                      |0.048    |Construção                    |Novo Mercado     |0.2913              |7.7            |Bom             |923,179,000    |
|SYNE3|SYN PROP & TECH S.A.                                    |0        |Shoppings                     |Novo Mercado     |0.1516              |na             |na              |1,510,730,000  |
|YDUQ3|ESTACIO PARTICIPAÇÕES SA                                |0.0135   |Educação                      |Novo Mercado     |0.0898              |5.6            |Ruim            |3,239,030,000  |
|TRIS3|TRISUL                                                  |0.0287   |Construção                    |Novo Mercado     |0.0421              |6.8            |Regular         |1,332,140,000  |
|LOGG3|LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES S.A.          |0.0319   |Construção                    |Novo Mercado     |0.1633              |na             |na              |3,729,940,000  |
|BMOB3|BEMOBI MOBILE TECH S.A.                                 |0.056    |Programas e Serviços          |Novo Mercado     |1.0914              |na             |na              |1,080,030,000  |
|OSXB3|OSX BRASIL S.A.                                         |0        |Petróleo e Gás - E&P          |Novo Mercado     |0.4786              |na             |na              |-6,229,240,000 |
|OPCT3|OCEANPACT SERVIÇOS MARÍTIMOS S.A.                       |0        |Ambiental                     |Novo Mercado     |0.5249              |na             |na              |794,548,000    |
|GGPS3|na                                                      |0.0145   |na                            |na               |0.1841              |-1             |na              |2,948,660,000  |
|ANIM3|na                                                      |0        |Educação                      |Novo Mercado     |0.3861              |0              |Não Recomendada |2,551,290,000  |
|TECN3|TECHNOS SA                                              |0.0458   |Artigos de Luxo               |Novo Mercado     |0.057               |7.8            |Bom             |380,137,000    |
|AZUL4|AZUL S.A.                                               |0        |Aéreo                         |Nível 2          |0.1969              |8.1            |Ótimo           |-21,286,100,000|
|B3SA3|B3                                                      |0.0365   |Bolsa de Valores              |Novo Mercado     |0.0945              |9              |Ótimo           |20,273,500,000 |
|NGRD3|na                                                      |0.0126   |na                            |na               |0.07                |-1             |na              |456,449,000    |
|SOMA3|RBX RIO COMÉRCIO DE ROUPAS S.A.                         |0.0145   |Vestuário - Geral             |Novo Mercado     |0.5959              |8.7            |Ótimo           |7,637,750,000  |
|AFLT3|AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A            |0.0735   |Energia - Transmissão         |Tradicional      |0.198               |na             |na              |254,149,000    |
|PRIO3|PETRO RIO S.A.                                          |0.0017   |Petróleo e Gás - E&P          |Novo Mercado     |0.7399              |na             |na              |12,901,100,000 |
|CVCB3|CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA            |0        |Turismo                       |Novo Mercado     |-0.0433             |8.2            |Ótimo           |436,424,000    |
|SOJA3|na                                                      |0.0628   |na                            |na               |0.4868              |-1             |na              |924,072,000    |
|ORVR3|ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.                     |0        |Ambiental                     |Novo Mercado     |0.4055              |na             |na              |617,519,000    |
|ENAT3|QGEP PARTICIPAÇÕES SA                                   |0.0059   |Petróleo e Gás - E&P          |Novo Mercado     |0.1725              |na             |na              |3,876,330,000  |
|APER3|BR INSURANCE CORRETORA DE SEGUROS S.A.                  |0.007    |Seguros                       |Tradicional      |0.3778              |9.2            |Ótimo           |477,848,000    |
|QUAL3|QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.       |0.0335   |Seguros                       |Novo Mercado     |-0.0188             |6.4            |Regular         |1,326,160,000  |
|MDNE3|MOURA DUBEUX                                            |0        |Construção                    |na               |0.3201              |na             |na              |1,306,870,000  |
|RRRP3|na                                                      |0        |Petróleo e Gás - E&P          |Novo Mercado     |1.538               |na             |na              |5,185,410,000  |
|ONCO3|na                                                      |0        |na                            |na               |0.4483              |-1             |na              |2,215,000,000  |
|DMVF3|na                                                      |0        |Varejo - Farmacêutico         |Novo Mercado     |0.2395              |5.1            |Ruim            |861,621,000    |
|VVEO3|na                                                      |0        |na                            |na               |0.3959              |-1             |na              |3,129,440,000  |
|AERI3|na                                                      |0        |Máquinas e Equipamentos       |Novo Mercado     |0.0767              |na             |na              |1,138,260,000  |
|AMBP3|AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.            |0.0061   |Ambiental                     |Novo Mercado     |0.7972              |na             |na              |989,635,000    |
|HBSA3|HIDROVIAS DO BRASIL S.A.                                |0        |Logística e Hidroviário       |Novo Mercado     |0.1094              |na             |na              |1,585,400,000  |
|BGIP3|BANESE                                                  |0.0404   |Bancos                        |Tradicional      |0.004               |7.7            |Bom             |668,274,000    |
|BGIP4|BANESE                                                  |0.0444   |Bancos                        |Tradicional      |0.004               |7.7            |Bom             |668,274,000    |
|SBFG3|GRUPO SBF S.A.                                          |0.011    |Vestuário - Geral             |Novo Mercado     |0.3571              |7.5            |Bom             |2,461,640,000  |
|KRSA3|na                                                      |0        |na                            |na               |0.5529              |-1             |na              |986,414,000    |
|ZAMP3|ZAMP S.A.                                               |0        |Restaurantes                  |Tradicional      |0.1128              |7.5            |Bom             |1,331,470,000  |
|CASH3|MELIUZ S.A.                                             |0        |Programas e Serviços          |Novo Mercado     |0.282               |6              |Regular         |780,734,000    |
|NINJ3|na                                                      |0        |na                            |na               |0.0333              |-1             |na              |285,195,000    |
|WEST3|WESTWING COMÉRCIO VAREJISTA S.A.                        |0        |Móveis                        |na               |-0.1669             |8.4            |Ótimo           |272,425,000    |
|HBRE3|na                                                      |0        |Construção                    |Novo Mercado     |0.2496              |na             |na              |2,024,550,000  |
|CRPG3|MILLENNIUM INORGANIC CHEMICALS DO BRASIL                |0.1407   |Químicos                      |Tradicional      |0.0355              |na             |na              |692,919,000    |
|CRPG5|MILLENNIUM INORGANIC CHEMICALS DO BRASIL                |0.1478   |Químicos                      |Tradicional      |0.0355              |na             |na              |692,919,000    |
|CEEB3|COELBA                                                  |0.1145   |Energia - Distribuição        |Tradicional      |0.1055              |7.3            |Bom             |6,437,000,000  |
|CEEB5|COELBA                                                  |0.1236   |Energia - Distribuição        |Tradicional      |0.1055              |7.3            |Bom             |6,437,000,000  |
|FESA3|FERBASA                                                 |0.0442   |Siderurgia                    |Nível 1          |0.2439              |na             |na              |3,248,510,000  |
|FESA4|FERBASA                                                 |0.071    |Siderurgia                    |Nível 1          |0.2439              |na             |na              |3,248,510,000  |
|SUZB3|SUZANO PAPEL E CELULOSE SA                              |0.021    |Papel e Celulose              |Novo Mercado     |0.1435              |8.1            |Ótimo           |44,692,800,000 |
|ARZZ3|AREZZO INDÚSTRIA E COMERCIO S/A                         |0.0326   |Vestuário - Calçados          |na               |0.3749              |6.4            |Regular         |2,891,400,000  |
|DIRR3|DIRECIONAL ENGENHARIA SA                                |0.0199   |Construção                    |Novo Mercado     |0.1297              |6.6            |Regular         |1,934,470,000  |
|RENT3|LOCALIZA RENT A CAR                                     |0.0277   |Locação - Veículos            |Novo Mercado     |0.2696              |8.7            |Ótimo           |25,191,500,000 |
|MATD3|HOSPITAL MATER DEI S.A.                                 |0.0102   |Serviços Hospitalares         |Novo Mercado     |0.4024              |7              |Bom             |1,662,270,000  |
|AVLL3|na                                                      |0        |na                            |na               |0.1555              |-1             |na              |-636,418,000   |
|ENJU3|na                                                      |0        |Programas e Serviços          |Novo Mercado     |0.2524              |8              |Ótimo           |353,986,000    |
|CMIG3|CEMIG                                                   |0.0859   |Energia - Distribuição        |Nível 1          |0.1186              |5.3            |Ruim            |24,427,800,000 |
|CMIG4|CEMIG                                                   |0.1078   |Energia - Distribuição        |Nível 1          |0.1186              |5.3            |Ruim            |24,427,800,000 |
|RPAD3|ALFA HOLDINGS                                           |0        |Holding                       |Tradicional      |-0.6536             |7.8            |Bom             |1,082,830,000  |
|RPAD5|ALFA HOLDINGS                                           |0.0755   |Holding                       |Tradicional      |-0.6536             |7.8            |Bom             |1,082,830,000  |
|CRIV3|ALFA FINANCEIRA                                         |0        |Financeira                    |Tradicional      |-0.001              |7.8            |Bom             |1,058,750,000  |
|CRIV4|ALFA FINANCEIRA                                         |0.0732   |Financeira                    |Tradicional      |-0.001              |7.8            |Bom             |1,058,750,000  |
|BMEB3|BANCO MERCANTIL DO BRASIL S/A                           |0.051    |Bancos                        |Nível 1          |0.187               |7.3            |Bom             |1,553,050,000  |
|BMEB4|BANCO MERCANTIL DO BRASIL S/A                           |0.0498   |Bancos                        |Nível 1          |0.187               |7.3            |Bom             |1,553,050,000  |
|BRGE3|CONSORCIO ALFA                                          |0        |Seguros                       |Tradicional      |-0.4561             |7.8            |Bom             |1,324,180,000  |
|BRGE5|CONSORCIO ALFA                                          |0        |Seguros                       |Tradicional      |-0.4561             |7.8            |Bom             |1,324,180,000  |
|CEDO3|CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA                |0        |Têxtil                        |Nível 1          |0.2019              |na             |na              |185,170,000    |
|CEDO4|CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA                |0        |Têxtil                        |Nível 1          |0.2019              |na             |na              |185,170,000    |
|CSMG3|COPASA MG                                               |0.14     |Saneamento                    |Novo Mercado     |0.0853              |6.1            |Regular         |7,891,110,000  |
|MEAL3|INTERNATIONAL MEAL COMAPANY ALIMENTAÇÃO S.A.            |0        |Restaurantes                  |Novo Mercado     |0.1444              |4.7            |Não Recomendada |1,112,260,000  |
|BBSE3|na                                                      |0.0861   |Seguros                       |Novo Mercado     |0                   |7.3            |Bom             |9,816,480,000  |
|DOTZ3|na                                                      |0        |na                            |na               |0.0303              |-1             |na              |-222,238,000   |
|PETZ3|PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.                |0.0041   |Pet shop                      |Novo Mercado     |0.2701              |7.6            |Bom             |1,801,540,000  |
|PRNR3|PRINER SERVIÇOS INDUSTRIAIS S.A.                        |0        |Serviços Diversos             |Novo Mercado     |0.363               |na             |na              |227,184,000    |
|BRIT3|na                                                      |0.0092   |na                            |na               |0.2938              |-1             |na              |1,480,810,000  |
|ALLD3|na                                                      |0.128    |na                            |na               |0.0044              |-1             |na              |1,552,720,000  |
|OFSA3|na                                                      |0.0215   |Medicamentos                  |Novo Mercado     |0.1427              |8.9            |Ótimo           |669,547,000    |
|AGXY3|na                                                      |0.0231   |na                            |na               |0.3489              |-1             |na              |1,024,290,000  |
|MOVI3|MOVIDA PARTICIPAÇÕES S.A.                               |0.0142   |Locação - Veículos            |Novo Mercado     |0.3447              |7.2            |Bom             |3,027,690,000  |
|FHER3|FERTILIZANTES HERINGER SA                               |0        |Fertilizantes                 |na               |0.4983              |na             |na              |38,987,000     |
|CXSE3|na                                                      |0.0703   |na                            |na               |0                   |-1             |na              |12,585,900,000 |
|VAMO3|VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.|0.0384   |Locação - Veículos            |na               |0.6364              |na             |na              |4,878,780,000  |
|PLPL3|na                                                      |0.047    |Construção                    |Novo Mercado     |0.2236              |8.1            |Ótimo           |597,321,000    |
|GMAT3|na                                                      |0        |Varejo - Alimentício          |Novo Mercado     |0.2951              |7.3            |Bom             |8,287,380,000  |
|TRAD3|na                                                      |0        |na                            |na               |-0.407              |-1             |na              |477,113,000    |
|LAVV3|na                                                      |0.0831   |Construção                    |Novo Mercado     |0.0819              |na             |na              |1,261,230,000  |
|ESPA3|MPM CORPÓREOS S.A.                                      |0        |Serviços Diversos             |Novo Mercado     |0.1484              |8.8            |Ótimo           |877,564,000    |
|MILS3|MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A           |0.0239   |Locação - Máquinas e Equip.   |Novo Mercado     |0.4359              |na             |na              |1,390,720,000  |
|BEES3|BANESTES S/A                                            |0.067    |Bancos                        |Tradicional      |0.128               |6              |Regular         |2,216,350,000  |
|BEES4|BANESTES S/A                                            |0.0638   |Bancos                        |Tradicional      |0.128               |6              |Regular         |2,216,350,000  |
|ABCB4|BANCO ABC BRASIL S/A                                    |0.0652   |Bancos                        |Nível 2          |0.4586              |7.9            |Bom             |5,871,730,000  |
|AURE3|na                                                      |0.2338   |na                            |na               |0.5348              |-1             |na              |12,369,000,000 |
