|papel|DENOM_COMERC                                            |div_yield|atuacao                       |segmento_listagem|cresc_rec_cinco_anos|reclameaquinota|reclameaquitexto|patrim_liq     |
|FIGE3|INVESTIMENTOS BEMGE                                     |0.32     |Financeira                    |Tradicional      |0.15                |na             |na              |160,202,000    |
|FIGE4|INVESTIMENTOS BEMGE                                     |0.11     |Financeira                    |Tradicional      |0.15                |na             |na              |160,202,000    |
|SEQL3|na                                                      |0        |Logística e Rodoviário        |Novo Mercado     |0.83                |5.4            |Ruim            |126,809,000    |
|BRFS3|BRF S.A.                                                |0        |Alimentos - Carnes e Derivados|Novo Mercado     |0.07                |7.8            |Bom             |14,121,800,000 |
|CSUD3|CSU DIGITAL S.A.                                        |0.44     |Software                      |Novo Mercado     |0.28                |na             |na              |412,720,000    |
|PEAB3|CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA                  |0.48     |Holding                       |na               |0.46                |na             |na              |690,575,000    |
|PEAB4|CIA. DE PARTICIPAÇÕES ALIANÇA DA BAHIA                  |0.5      |Holding                       |na               |0.46                |na             |na              |690,575,000    |
|PSSA3|PORTO SEGURO SA                                         |0.45     |Seguros                       |Novo Mercado     |0.92                |7.5            |Bom             |11,857,900,000 |
|DEXP3|DEXXOS PARTICPAÇÕES S.A.                                |0.28     |Químicos                      |Nível 1          |0.46                |na             |na              |690,501,000    |
|DEXP4|DEXXOS PARTICPAÇÕES S.A.                                |0        |Químicos                      |Nível 1          |0.46                |na             |na              |690,501,000    |
|FIQE3|na                                                      |0.15     |na                            |na               |0.24                |-1             |na              |1,079,370,000  |
|EMAE4|EMAE                                                    |0.59     |Energia - Geração             |Tradicional      |0.39                |na             |na              |1,159,060,000  |
|EKTR3|ELEKTRO REDES S.A.                                      |0.14     |Energia - Distribuição        |Tradicional      |0.32                |8.4            |Ótimo           |2,999,000,000  |
|EKTR4|ELEKTRO REDES S.A.                                      |0.87     |Energia - Distribuição        |Tradicional      |0.32                |8.4            |Ótimo           |2,999,000,000  |
|TGMA3|TEGMA GESTÃO LOGÍSTICA SA                               |0.66     |Logística e Rodoviário        |Novo Mercado     |0.54                |na             |na              |819,533,000    |
|LWSA3|LOCAWEB SERVIÇOS DE INTERNET S.A.                       |0.96     |Serviços Diversos             |Novo Mercado     |0.7                 |8.5            |Ótimo           |2,921,510,000  |
|PDTC3|--                                                      |0        |Holding                       |na               |0.48                |na             |na              |153,248,000    |
|RAIL3|ALL - AMÉRICA LATINA LOGÍSTICA S.A.                     |0.28     |Logística e Ferroviário       |Novo Mercado     |0.29                |na             |na              |15,936,700,000 |
|TIMS3|TIM S.A.                                                |0.94     |Telecomunicações              |Novo Mercado     |0.9                 |8.3            |Ótimo           |26,015,900,000 |
|CPFE3|CPFL ENERGIA S.A.                                       |0.11     |Energia - Distribuição        |Novo Mercado     |0.03                |7.7            |Bom             |18,172,700,000 |
|EGIE3|TRACTEBEL ENERGIA                                       |0.18     |Energia - Geração             |na               |0.91                |na             |na              |8,436,830,000  |
|VIVT3|TELEFÔNICA BRASIL                                       |0.8      |Telecomunicações              |Tradicional      |0.92                |0              |Não Recomendada |69,269,900,000 |
|STBP3|SANTOS BRASIL PARTICIPAÇÕES S.A.                        |0.99     |Logística e Portuário         |Novo Mercado     |0.95                |na             |na              |2,191,630,000  |
|COGN3|KROTON EDUCACIONAL S.A.                                 |0        |Educação                      |Novo Mercado     |0.35                |7              |Bom             |12,083,300,000 |
|CCRO3|CCR S.A.                                                |0.41     |Exploração de Rodovias        |Novo Mercado     |0.01                |5.3            |Ruim            |12,462,200,000 |
|SHOW3|T4F ENTRETENIMENTO SA                                   |0        |Entretenimento                |Novo Mercado     |0.73                |5.2            |Ruim            |152,904,000    |
|JBSS3|JBS SA                                                  |0.44     |Alimentos - Carnes e Derivados|Novo Mercado     |0.85                |9.4            |Ótimo           |41,972,500,000 |
|HYPE3|HYPERA PHARMA S/A                                       |0.99     |Medicamentos                  |Novo Mercado     |0.36                |6.9            |Regular         |11,388,400,000 |
|PDGR3|PDG REALTY SA EMPREENDIMENTOS E PARTS                   |0        |Construção                    |Novo Mercado     |0.88                |7.1            |Bom             |-5,380,590,000 |
|GEPA3|DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA                 |0.34     |Energia - Geração             |na               |0.98                |na             |na              |2,123,240,000  |
|GEPA4|DUKE ENERGY INT,GERAÇÃO PARANAPANEMA SA                 |0.66     |Energia - Geração             |na               |0.98                |na             |na              |2,123,240,000  |
|TRPL3|CTEEP                                                   |0.95     |Energia - Transmissão         |Nível 1          |0.91                |na             |na              |17,977,200,000 |
|TRPL4|CTEEP                                                   |0.33     |Energia - Transmissão         |Nível 1          |0.91                |na             |na              |17,977,200,000 |
|TPIS3|TPI                                                     |0.61     |Exploração de Rodovias        |Novo Mercado     |0.95                |na             |na              |858,180,000    |
|EQTL3|EQUATORIAL ENERGIA S/A                                  |0.03     |Energia - Distribuição        |Novo Mercado     |0.05                |6.9            |Regular         |19,573,900,000 |
|DTCY3|DTCOM                                                   |0        |Educação                      |Tradicional      |0.58                |na             |na              |-1,655,000     |
|RECV3|na                                                      |0.56     |na                            |na               |0.79                |-1             |na              |4,429,210,000  |
|LIGT3|LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL                    |0        |Energia - Distribuição        |Novo Mercado     |0.32                |6.2            |Regular         |3,048,560,000  |
|ENMT3|ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.    |0.7      |Energia - Distribuição        |Tradicional      |0.93                |5.1            |Ruim            |3,549,160,000  |
|ENMT4|ENERGISA MATO GROSSO - DISTRIBUIDORA DE ENERGIA S.A.    |0        |Energia - Distribuição        |Tradicional      |0.93                |5.1            |Ruim            |3,549,160,000  |
|CLSA3|na                                                      |0        |na                            |na               |0.43                |-1             |na              |716,090,000    |
|BRAP3|BRADESPAR S/A                                           |0.53     |Holding                       |na               |0                   |na             |na              |8,023,720,000  |
|BRAP4|BRADESPAR S/A                                           |0.79     |Holding                       |na               |0                   |na             |na              |8,023,720,000  |
|MRFG3|MARFRIG                                                 |0        |Alimentos - Carnes e Derivados|na               |0.66                |8.7            |Ótimo           |6,129,530,000  |
|ATMP3|ATMA PARTICIPACOES S.A. EM RECUPERACAO JUDICIAL         |0        |Holding                       |Tradicional      |0.91                |0              |Não Recomendada |-16,770,000    |
|ECOR3|ECORODOVIAS INFRAESTRUTURA E LOGÍSTICA S.A.             |0.94     |Exploração de Rodovias        |na               |0.26                |na             |na              |2,755,580,000  |
|ENEV3|ENEVA SA                                                |0        |Energia - Geração             |Novo Mercado     |0.9                 |na             |na              |12,943,500,000 |
|BIOM3|BIOMM SA                                                |0        |Medicamentos                  |Bovespa Mais     |0.78                |na             |na              |99,012,000     |
|FRIO3|METALFRIO SOLUTIONS S/A                                 |0        |Máquinas e Equipamentos       |na               |0.06                |7.6            |Bom             |-439,858,000   |
|EQPA3|EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.           |0.87     |Energia - Distribuição        |Tradicional      |0.91                |6.9            |Regular         |4,452,730,000  |
|EQPA5|EQUATORIAL PARÁ DISTRIBUIDORA DE ENERGIA S.A.           |0.98     |Energia - Distribuição        |Tradicional      |0.91                |6.9            |Regular         |4,452,730,000  |
|BAZA3|BANCO DA AMAZONIA S.A.                                  |0.23     |Bancos                        |Tradicional      |0.96                |na             |na              |5,811,580,000  |
|BPAR3|BANPARÁ S.A.                                            |0        |Bancos                        |Tradicional      |0.42                |7.2            |Bom             |1,843,240,000  |
|SEER3|na                                                      |0        |Educação                      |Novo Mercado     |0.2                 |5.6            |Ruim            |1,203,790,000  |
|HAPV3|HAPVIDA PARTICIPAÇÕES E INVESTIMENTOS S.A.              |0        |Seguros                       |Novo Mercado     |0.89                |7.1            |Bom             |49,114,400,000 |
|ALOS3|ALLOS S.A.                                              |0.2      |Shoppings                     |Novo Mercado     |0.27                |0              |Não Recomendada |14,703,000,000 |
|LVTC3|na                                                      |0.36     |na                            |na               |0.31                |-1             |na              |644,883,000    |
|RDOR3|REDE D'OR SÃO LUIZ S.A.                                 |0.4      |Serviços Hospitalares         |Novo Mercado     |0.75                |6.8            |Regular         |22,773,400,000 |
|ASAI3|SENDAS DISTRIBUIDORA S.A.                               |0.38     |Varejo - Alimentício          |Novo Mercado     |0.77                |7.5            |Bom             |4,325,000,000  |
|GOLL4|GOL LINHAS AEREAS INTELIGENTES SA                       |0        |Aéreo                         |Nível 2          |0.09                |7              |Bom             |-22,029,000,000|
|PGMN3|na                                                      |0        |na                            |na               |0.27                |-1             |na              |2,557,500,000  |
|COCE3|CIA ENERG CEARA - COELCE                                |0.62     |Energia - Distribuição        |Tradicional      |0.87                |0              |Não Recomendada |4,242,320,000  |
|COCE5|CIA ENERG CEARA - COELCE                                |0.74     |Energia - Distribuição        |Tradicional      |0.87                |0              |Não Recomendada |4,242,320,000  |
|MDIA3|M DIAS BRANCO SA IND E COM DE ALIMENTOS                 |0.65     |Alimentos - Variados          |Novo Mercado     |0.72                |7.3            |Bom             |7,295,590,000  |
|BNBR3|BANCO DO NORDESTE                                       |0.3      |Bancos                        |Tradicional      |0.79                |7.3            |Bom             |10,267,000,000 |
|SIMH3|SIMPAR S.A.                                             |0.27     |Holding                       |Novo Mercado     |0.38                |na             |na              |3,498,440,000  |
|ABEV3|AMBEV S.A                                               |0.65     |Bebidas                       |Tradicional      |0.23                |7.7            |Bom             |90,254,900,000 |
|SMFT3|SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.               |0.86     |Academias                     |Novo Mercado     |0.81                |8.1            |Ótimo           |4,713,060,000  |
|AGRO3|BRASILAGRO CIA BRAS DE PROP AGRICOLAS                   |0.8      |Agronegócio                   |Novo Mercado     |0.85                |na             |na              |1,976,040,000  |
|EMBR3|EMBRAER                                                 |0        |Produção de Aeronaves         |Novo Mercado     |0.6                 |na             |na              |12,757,400,000 |
|SGPS3|SPRINGS GLOBAL                                          |0        |Têxtil                        |na               |0.31                |na             |na              |165,504,000    |
|MULT3|MULTIPLAN                                               |0.84     |Shoppings                     |Nível 2          |0.92                |6.2            |Regular         |6,933,920,000  |
|FIEI3|CR2 EMPREENDIMENTOS IMOBILIÁRIOS S/A                    |0        |Construção                    |Tradicional      |0.98                |na             |na              |82,854,000     |
|TAEE3|TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.           |0.29     |Energia - Transmissão         |Nível 2          |0.89                |na             |na              |6,652,330,000  |
|TAEE4|TRANSMISSORA ALIANÇA DE ENERGIA ELÉTRICA S.A.           |0.23     |Energia - Transmissão         |Nível 2          |0.89                |na             |na              |6,652,330,000  |
|MTRE3|na                                                      |0.36     |Construção                    |Novo Mercado     |0.44                |7.5            |Bom             |976,846,000    |
|TCSA3|TECNISA S/A                                             |0        |Construção                    |Novo Mercado     |0.88                |5.4            |Ruim            |591,429,000    |
|LPSB3|LOPES                                                   |0.03     |Exploração de Imóveis         |Novo Mercado     |0                   |7.4            |Bom             |219,649,000    |
|DESK3|na                                                      |0.15     |na                            |na               |0.75                |-1             |na              |1,260,890,000  |
|JHSF3|JHSF                                                    |0.32     |Construção                    |Novo Mercado     |0.74                |na             |na              |5,040,500,000  |
|EZTC3|EZ TEC EMPREEND. E PARTICIPAÇÕES S/A                    |0.37     |Construção                    |Novo Mercado     |0.57                |6.9            |Regular         |4,598,390,000  |
|CSRN3|COSERN                                                  |0.35     |Energia - Distribuição        |Tradicional      |0.21                |8              |Ótimo           |1,546,000,000  |
|CSRN5|COSERN                                                  |0.38     |Energia - Distribuição        |Tradicional      |0.21                |8              |Ótimo           |1,546,000,000  |
|MRVE3|MRV ENGENHARIA                                          |0        |Construção                    |Novo Mercado     |0.85                |7              |Bom             |6,862,600,000  |
|ALUP3|ALUPAR INVESTIMENTO S/A                                 |0.01     |Energia - Transmissão         |Nível 2          |0.66                |na             |na              |7,541,460,000  |
|ALUP4|ALUPAR INVESTIMENTO S/A                                 |0.95     |Energia - Transmissão         |Nível 2          |0.66                |na             |na              |7,541,460,000  |
|GUAR3|GUARARAPES CONFECÇÕES                                   |0        |Vestuário - Geral             |Novo Mercado     |0.42                |8.5            |Ótimo           |4,986,780,000  |
|CEED3|CEEE-D                                                  |0        |Energia - Distribuição        |Tradicional      |0.62                |na             |na              |-2,965,540,000 |
|CEED4|CEEE-D                                                  |0        |Energia - Distribuição        |Tradicional      |0.62                |na             |na              |-2,965,540,000 |
|RNEW3|RENOVA ENERGIA S/A                                      |0        |Energia - Geração             |Nível 2          |0.88                |na             |na              |807,164,000    |
|RNEW4|RENOVA ENERGIA S/A                                      |0        |Energia - Geração             |Nível 2          |0.88                |na             |na              |807,164,000    |
|GPAR3|CELGPAR                                                 |0        |Energia - Distribuição        |Tradicional      |0.2                 |5.5            |Ruim            |727,046,000    |
|NEXP3|NEXPE PARTICIPAÃiES S.A.                                |0        |Exploração de Imóveis         |Novo Mercado     |0.75                |na             |na              |-143,251,000   |
|GSHP3|GENERAL SHOPPING BRASIL SA                              |0        |Shoppings                     |na               |0.39                |na             |na              |-840,571,000   |
|CURY3|na                                                      |0.16     |Construção                    |Novo Mercado     |0.13                |7.7            |Bom             |923,179,000    |
|SYNE3|SYN PROP & TECH S.A.                                    |0        |Shoppings                     |Novo Mercado     |0.16                |na             |na              |1,510,730,000  |
|YDUQ3|ESTACIO PARTICIPAÇÕES SA                                |0.47     |Educação                      |Novo Mercado     |0.98                |5.6            |Ruim            |3,239,030,000  |
|TRIS3|TRISUL                                                  |0.19     |Construção                    |Novo Mercado     |0.21                |6.8            |Regular         |1,332,140,000  |
|LOGG3|LOG COMMERCIAL PROPERTIES E PARTICIPAÇÕES S.A.          |0        |Construção                    |Novo Mercado     |0.33                |na             |na              |3,729,940,000  |
|BMOB3|BEMOBI MOBILE TECH S.A.                                 |0.11     |Programas e Serviços          |Novo Mercado     |0.14                |na             |na              |1,080,030,000  |
|OSXB3|OSX BRASIL S.A.                                         |0        |Petróleo e Gás - E&P          |Novo Mercado     |0.86                |na             |na              |-6,229,240,000 |
|OPCT3|OCEANPACT SERVIÇOS MARÍTIMOS S.A.                       |0        |Ambiental                     |Novo Mercado     |0.49                |na             |na              |794,548,000    |
|GGPS3|na                                                      |0.41     |na                            |na               |0.41                |-1             |na              |2,948,660,000  |
|ANIM3|na                                                      |0        |Educação                      |Novo Mercado     |0.61                |0              |Não Recomendada |2,551,290,000  |
|TECN3|TECHNOS SA                                              |0        |Artigos de Luxo               |Novo Mercado     |0.7                 |7.8            |Bom             |380,137,000    |
|AZUL4|AZUL S.A.                                               |0        |Aéreo                         |Nível 2          |0.69                |8.1            |Ótimo           |-21,286,100,000|
|B3SA3|B3                                                      |0.43     |Bolsa de Valores              |Novo Mercado     |0.48                |9              |Ótimo           |20,233,800,000 |
|NGRD3|na                                                      |0.34     |na                            |na               |0                   |-1             |na              |456,449,000    |
|SOMA3|RBX RIO COMÉRCIO DE ROUPAS S.A.                         |0.43     |Vestuário - Geral             |Novo Mercado     |0.59                |8.7            |Ótimo           |7,637,750,000  |
|AFLT3|AFLUENTE TRANSMISSÃO DE ENERGIA ELETRICA S/A            |0.55     |Energia - Transmissão         |Tradicional      |0.8                 |na             |na              |254,149,000    |
|PRIO3|PETRO RIO S.A.                                          |0.17     |Petróleo e Gás - E&P          |Novo Mercado     |0.99                |na             |na              |12,901,100,000 |
|CVCB3|CVC BRASIL OPERADORA E AGÊNCIA DE VIAGENS SA            |0        |Turismo                       |Novo Mercado     |0.33                |8.2            |Ótimo           |436,424,000    |
|SOJA3|na                                                      |0.33     |na                            |na               |0.68                |-1             |na              |924,072,000    |
|ORVR3|ORIZON VALORIZAÇÃO DE RESÍDUOS S.A.                     |0        |Ambiental                     |Novo Mercado     |0.55                |na             |na              |617,519,000    |
|ENAT3|QGEP PARTICIPAÇÕES SA                                   |0.8      |Petróleo e Gás - E&P          |Novo Mercado     |0.25                |na             |na              |3,876,330,000  |
|APER3|BR INSURANCE CORRETORA DE SEGUROS S.A.                  |0.71     |Seguros                       |Tradicional      |0.78                |9.2            |Ótimo           |477,848,000    |
|QUAL3|QUALICORP CONSULTORIA E CORRETORA DE SEGUROS S.A.       |0.03     |Seguros                       |Novo Mercado     |0.88                |6.4            |Regular         |1,326,160,000  |
|MDNE3|MOURA DUBEUX                                            |0        |Construção                    |na               |0.01                |na             |na              |1,306,870,000  |
|RRRP3|na                                                      |0        |Petróleo e Gás - E&P          |Novo Mercado     |0.8                 |na             |na              |5,185,410,000  |
|ONCO3|na                                                      |0        |na                            |na               |0.83                |-1             |na              |2,215,000,000  |
|DMVF3|na                                                      |0        |Varejo - Farmacêutico         |Novo Mercado     |0.95                |5.1            |Ruim            |861,621,000    |
|VVEO3|na                                                      |0        |na                            |na               |0.59                |-1             |na              |3,129,440,000  |
|AERI3|na                                                      |0        |Máquinas e Equipamentos       |Novo Mercado     |0.41                |na             |na              |815,079,000    |
|AMBP3|AMBIPAR PARTICIPAÇÕES E EMPREENDIMENTOS S.A.            |0.66     |Ambiental                     |Novo Mercado     |0.72                |na             |na              |989,635,000    |
|HBSA3|HIDROVIAS DO BRASIL S.A.                                |0        |Logística e Hidroviário       |Novo Mercado     |0.94                |na             |na              |1,585,400,000  |
|BGIP3|BANESE                                                  |0.18     |Bancos                        |Tradicional      |0.05                |7.7            |Bom             |616,709,000    |
|BGIP4|BANESE                                                  |0.69     |Bancos                        |Tradicional      |0.05                |7.7            |Bom             |616,709,000    |
|SBFG3|GRUPO SBF S.A.                                          |0.12     |Vestuário - Geral             |Novo Mercado     |0.71                |7.5            |Bom             |2,461,640,000  |
|KRSA3|na                                                      |0        |na                            |na               |0.13                |-1             |na              |1,013,980,000  |
|ZAMP3|ZAMP S.A.                                               |0        |Restaurantes                  |Tradicional      |0.28                |7.5            |Bom             |1,331,470,000  |
|CASH3|MELIUZ S.A.                                             |0        |Programas e Serviços          |Novo Mercado     |0.2                 |6              |Regular         |780,734,000    |
|NINJ3|na                                                      |0        |na                            |na               |0.33                |-1             |na              |285,195,000    |
|WEST3|WESTWING COMÉRCIO VAREJISTA S.A.                        |0        |Móveis                        |na               |0.69                |8.4            |Ótimo           |272,425,000    |
|HBRE3|na                                                      |0        |Construção                    |Novo Mercado     |0.16                |na             |na              |1,908,600,000  |
|CRPG3|MILLENNIUM INORGANIC CHEMICALS DO BRASIL                |0.8      |Químicos                      |Tradicional      |0.55                |na             |na              |692,919,000    |
|CRPG5|MILLENNIUM INORGANIC CHEMICALS DO BRASIL                |0.56     |Químicos                      |Tradicional      |0.55                |na             |na              |692,919,000    |
|CEEB3|COELBA                                                  |0.39     |Energia - Distribuição        |Tradicional      |0.55                |7.3            |Bom             |6,437,000,000  |
|CEEB5|COELBA                                                  |0.36     |Energia - Distribuição        |Tradicional      |0.55                |7.3            |Bom             |6,437,000,000  |
|FESA3|FERBASA                                                 |0.02     |Siderurgia                    |Nível 1          |0.39                |na             |na              |3,248,510,000  |
|FESA4|FERBASA                                                 |0.37     |Siderurgia                    |Nível 1          |0.39                |na             |na              |3,248,510,000  |
|SUZB3|SUZANO PAPEL E CELULOSE SA                              |0.26     |Papel e Celulose              |Novo Mercado     |0.99                |8.1            |Ótimo           |41,762,300,000 |
|ARZZ3|AREZZO INDÚSTRIA E COMERCIO S/A                         |0.29     |Vestuário - Calçados          |na               |0.49                |6.4            |Regular         |2,891,400,000  |
|DIRR3|DIRECIONAL ENGENHARIA SA                                |0.14     |Construção                    |Novo Mercado     |0.97                |6.6            |Regular         |1,934,470,000  |
|RENT3|LOCALIZA RENT A CAR                                     |0.83     |Locação - Veículos            |Novo Mercado     |0.96                |8.7            |Ótimo           |25,191,500,000 |
|MATD3|HOSPITAL MATER DEI S.A.                                 |0.99     |Serviços Hospitalares         |Novo Mercado     |0.24                |7              |Bom             |1,662,270,000  |
|AVLL3|na                                                      |0        |na                            |na               |0.55                |-1             |na              |-636,418,000   |
|ENJU3|na                                                      |0        |Programas e Serviços          |Novo Mercado     |0.24                |8              |Ótimo           |353,986,000    |
|CMIG3|CEMIG                                                   |0.58     |Energia - Distribuição        |Nível 1          |0.86                |5.3            |Ruim            |24,427,800,000 |
|CMIG4|CEMIG                                                   |0.43     |Energia - Distribuição        |Nível 1          |0.86                |5.3            |Ruim            |24,427,800,000 |
|RPAD3|ALFA HOLDINGS                                           |0        |Holding                       |Tradicional      |0.36                |7.8            |Bom             |1,082,830,000  |
|RPAD5|ALFA HOLDINGS                                           |0.97     |Holding                       |Tradicional      |0.36                |7.8            |Bom             |1,082,830,000  |
|CRIV3|ALFA FINANCEIRA                                         |0        |Financeira                    |Tradicional      |0.1                 |7.8            |Bom             |1,058,750,000  |
|CRIV4|ALFA FINANCEIRA                                         |0.74     |Financeira                    |Tradicional      |0.1                 |7.8            |Bom             |1,058,750,000  |
|BMEB3|BANCO MERCANTIL DO BRASIL S/A                           |0.92     |Bancos                        |Nível 1          |0.7                 |7.3            |Bom             |1,553,050,000  |
|BMEB4|BANCO MERCANTIL DO BRASIL S/A                           |0.26     |Bancos                        |Nível 1          |0.7                 |7.3            |Bom             |1,553,050,000  |
|BRGE3|CONSORCIO ALFA                                          |0        |Seguros                       |Tradicional      |0.61                |7.8            |Bom             |1,324,180,000  |
|BRGE5|CONSORCIO ALFA                                          |0        |Seguros                       |Tradicional      |0.61                |7.8            |Bom             |1,324,180,000  |
|CEDO3|CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA                |0        |Têxtil                        |Nível 1          |0.19                |na             |na              |185,170,000    |
|CEDO4|CIA. DE FIAÇÃO E TECIDOS CEDRO CACHOEIRA                |0        |Têxtil                        |Nível 1          |0.19                |na             |na              |185,170,000    |
|CSMG3|COPASA MG                                               |0.49     |Saneamento                    |Novo Mercado     |0.53                |6.1            |Regular         |7,891,110,000  |
|MEAL3|INTERNATIONAL MEAL COMAPANY ALIMENTAÇÃO S.A.            |0        |Restaurantes                  |Novo Mercado     |0.44                |4.7            |Não Recomendada |1,112,260,000  |
|BBSE3|na                                                      |0.88     |Seguros                       |Novo Mercado     |0                   |7.3            |Bom             |9,816,480,000  |
|DOTZ3|na                                                      |0        |na                            |na               |0.03                |-1             |na              |-222,238,000   |
|PETZ3|PET CENTER COMÉRCIO E PARTICIPAÇÕES S.A.                |0.48     |Pet shop                      |Novo Mercado     |0.01                |7.6            |Bom             |1,801,540,000  |
|PRNR3|PRINER SERVIÇOS INDUSTRIAIS S.A.                        |0        |Serviços Diversos             |Novo Mercado     |0.3                 |na             |na              |227,184,000    |
|BRIT3|na                                                      |0.1      |na                            |na               |0.38                |-1             |na              |1,480,810,000  |
|ALLD3|na                                                      |0.35     |na                            |na               |0.44                |-1             |na              |1,552,720,000  |
|OFSA3|na                                                      |0.23     |Medicamentos                  |Novo Mercado     |0.27                |8.9            |Ótimo           |669,547,000    |
|AGXY3|na                                                      |0.12     |na                            |na               |0.89                |-1             |na              |1,024,290,000  |
|MOVI3|MOVIDA PARTICIPAÇÕES S.A.                               |0.5      |Locação - Veículos            |Novo Mercado     |0.47                |7.2            |Bom             |3,027,690,000  |
|FHER3|FERTILIZANTES HERINGER SA                               |0        |Fertilizantes                 |na               |0.83                |na             |na              |38,987,000     |
|CXSE3|na                                                      |0.27     |na                            |na               |0                   |-1             |na              |12,760,400,000 |
|VAMO3|VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIPAMENTOS S.A.|0.25     |Locação - Veículos            |na               |0.64                |na             |na              |4,878,780,000  |
|PLPL3|na                                                      |0.59     |Construção                    |Novo Mercado     |0.36                |8.1            |Ótimo           |597,321,000    |
|GMAT3|na                                                      |0        |Varejo - Alimentício          |Novo Mercado     |0.51                |7.3            |Bom             |8,287,380,000  |
|TRAD3|na                                                      |0        |na                            |na               |0.7                 |-1             |na              |477,113,000    |
|LAVV3|na                                                      |0.69     |Construção                    |Novo Mercado     |0.19                |na             |na              |1,261,230,000  |
|ESPA3|MPM CORPÓREOS S.A.                                      |0        |Serviços Diversos             |Novo Mercado     |0.84                |8.8            |Ótimo           |877,564,000    |
|MILS3|MILLS ESTRUTURAS E SERVIÇOS DE ENGENHARIA S/A           |0.47     |Locação - Máquinas e Equip.   |Novo Mercado     |0.59                |na             |na              |1,390,720,000  |
|BEES3|BANESTES S/A                                            |0.57     |Bancos                        |Tradicional      |0.13                |6              |Regular         |2,178,700,000  |
|BEES4|BANESTES S/A                                            |0.22     |Bancos                        |Tradicional      |0.13                |6              |Regular         |2,178,700,000  |
|ABCB4|BANCO ABC BRASIL S/A                                    |0.55     |Bancos                        |Nível 2          |0.86                |7.9            |Bom             |5,871,730,000  |
|AURE3|na                                                      |0.27     |na                            |na               |0.48                |-1             |na              |12,369,000,000 |
|SCAR3|SÃO CARLOS EMPREEND.E PARTICIPAÇÕES S.A.                        |0        |Exploração de Imóveis         |Novo Mercado     |0.32                |na             |na              |1,525,820,000  |
|BPAC3|BANCO UBS PACTUAL S/A                                           |0.44     |Bancos                        |Nível 2          |0.37                |8.3            |Ótimo           |49,381,800,000 |
|BPAC5|BANCO UBS PACTUAL S/A                                           |0.79     |Bancos                        |Nível 2          |0.37                |8.3            |Ótimo           |49,381,800,000 |
|HAGA3|HAGA                                                            |0        |Produtos para Construção Civil|Tradicional      |0.46                |na             |na              |-55,516,000    |
